lock_component	prospective_rank	tf_symbol	source_row_number	source_table	selection_rule	source_fitted_trajectory_amplitude_sd	source_primary_trajectory_supported	source_high_confidence_trajectory_supported	source_trajectory_class	source_developmental_program_direction	source_supported_trajectory_rank	module_id	display_name	expected_early_context	expected_late_context	primary_direction	endpoint_id	endpoint	definition	inferential_unit	primary_or_secondary	gate_id	layer	criterion	required
candidate_TFs	1.0	FOXO6	1.0	11_manuscript_submission/DTHI_manuscript_submission_v3_explicit/05_supplementary_tables/Supplementary_Table_S07_phase7B3_top_supported_TF_trajectories.tsv	First eight unique TFs in the pre-existing frozen top-supported TF trajectory table; no validation-data inspection.	2.885362363252121	True	False	monotonic_decreasing	fetal_high	1.0														
candidate_TFs	2.0	NKX2-2	2.0	11_manuscript_submission/DTHI_manuscript_submission_v3_explicit/05_supplementary_tables/Supplementary_Table_S07_phase7B3_top_supported_TF_trajectories.tsv	First eight unique TFs in the pre-existing frozen top-supported TF trajectory table; no validation-data inspection.	2.827154664886873	True	True	monotonic_increasing	maturation_high	2.0														
candidate_TFs	3.0	NFKBIB	3.0	11_manuscript_submission/DTHI_manuscript_submission_v3_explicit/05_supplementary_tables/Supplementary_Table_S07_phase7B3_top_supported_TF_trajectories.tsv	First eight unique TFs in the pre-existing frozen top-supported TF trajectory table; no validation-data inspection.	2.8018295138399223	True	True	monotonic_increasing	maturation_high	3.0														
candidate_TFs	4.0	HOXA10	4.0	11_manuscript_submission/DTHI_manuscript_submission_v3_explicit/05_supplementary_tables/Supplementary_Table_S07_phase7B3_top_supported_TF_trajectories.tsv	First eight unique TFs in the pre-existing frozen top-supported TF trajectory table; no validation-data inspection.	2.797598107450743	True	True	monotonic_decreasing	fetal_high	4.0														
candidate_TFs	5.0	CEBPA	5.0	11_manuscript_submission/DTHI_manuscript_submission_v3_explicit/05_supplementary_tables/Supplementary_Table_S07_phase7B3_top_supported_TF_trajectories.tsv	First eight unique TFs in the pre-existing frozen top-supported TF trajectory table; no validation-data inspection.	2.839481612738954	True	True	monotonic_increasing	maturation_high	5.0														
candidate_TFs	6.0	MYT1	6.0	11_manuscript_submission/DTHI_manuscript_submission_v3_explicit/05_supplementary_tables/Supplementary_Table_S07_phase7B3_top_supported_TF_trajectories.tsv	First eight unique TFs in the pre-existing frozen top-supported TF trajectory table; no validation-data inspection.	2.6087704634096798	True	False	monotonic_increasing	maturation_high	6.0														
candidate_TFs	7.0	RFXANK	7.0	11_manuscript_submission/DTHI_manuscript_submission_v3_explicit/05_supplementary_tables/Supplementary_Table_S07_phase7B3_top_supported_TF_trajectories.tsv	First eight unique TFs in the pre-existing frozen top-supported TF trajectory table; no validation-data inspection.	2.685482241411309	True	True	monotonic_increasing	maturation_high	7.0														
candidate_TFs	8.0	RFX5	8.0	11_manuscript_submission/DTHI_manuscript_submission_v3_explicit/05_supplementary_tables/Supplementary_Table_S07_phase7B3_top_supported_TF_trajectories.tsv	First eight unique TFs in the pre-existing frozen top-supported TF trajectory table; no validation-data inspection.	2.6664360595461547	True	True	monotonic_increasing	maturation_high	8.0														
module_directions												patterning_arealization	Patterning–arealisation	Radial glia and early progenitors	Reduced in postmitotic neurons	early_high									
module_directions												progenitor_radial_glia	Progenitor–radial glia	VZ/SVZ and radial glia	Reduced in cortical plate neurons	early_high									
