chemical_name	DTXSID	final_reporting_group	final_biological_class	biological_interpretation_statement	final_evidence_strength	reproducibility_evidence_level	Phase6F4_overall_robustness	mechanistic_priority_scope	mechanistic_priority_rank_within_scope	mechanistic_priority_score_within_scope	mechanistic_priority_class	evidence_confidence_rank	evidence_confidence_score	evidence_confidence_class	CMAP_provisional_priority_score	direct_LINCS_hazard_priority_score	integrated_mechanistic_priority_score	evidence_tier	dominant_robust_mechanism_class	overall_primary_interpretation	direct_LINCS_quantitative_evaluated	CMAP_global_residual_mechanism	neural_quantitative_data_available	replicate_concordant_evaluable	bootstrap_replicated_absolute_effect	direct_injury_activation	direct_injury_exceeds_late_program	direct_early_program_suppression	direct_late_maturation_depletion	direct_late_maturation_support	direct_negative_developmental_shift	direct_positive_developmental_shift	mechanistic_rank_robustness_class	confidence_rank_robustness_class	rank_range_mechanistic	rank_range_confidence	stable_top5_all_mechanistic_scenarios	stable_top10_all_confidence_scenarios	classification_claim_scope	priority_scope_warning	final_interpretive_guardrail
camptothecin	DTXSID0030956	direct_injury_or_stress_perturbation	injury_dominant_developmental_perturbant	The dominant direct quantitative signal is injury or stress, and this effect exceeds apparent late-program support.	strong_multilayer_evidence	bootstrap_replicated	high_overall_robustness	integrated_CMAP_plus_direct_LINCS	1	67.0	high_priority	2	78.26998942823873	very_high_confidence	85.0	55.0	67.0	Tier_A_global_residual_mechanism	robust_injury_stress	injury_dominant_developmental_perturbation	True	True	False	True	True	True	True	False	False	False	False	False	high_rank_stability	high_rank_stability	0.0	3	True	True	direct_quantitative_multilayer_classification	Integrated priority combines CMAP and direct quantitative LINCS evidence.	Results describe transcriptomic perturbational mechanisms and evidence strength; they do not establish therapeutic benefit, clinical toxicity, causal human risk or exposure relevance.
etoposide	DTXSID5023035	direct_injury_or_stress_perturbation	injury_dominant_developmental_perturbant	The dominant direct quantitative signal is injury or stress, and this effect exceeds apparent late-program support.	strong_directional_multilayer_evidence	directionally_retained	high_overall_robustness	integrated_CMAP_plus_direct_LINCS	2	61.2	high_priority	1	79.89494262531541	very_high_confidence	83.0	46.66666666666666	61.2	Tier_A_global_residual_mechanism	robust_mixed_early_and_injury	injury_dominant_developmental_perturbation	True	True	True	True	True	True	True	False	False	False	False	True	high_rank_stability	high_rank_stability	2.0	2	True	True	direct_quantitative_multilayer_classification	Integrated priority combines CMAP and direct quantitative LINCS evidence.	Results describe transcriptomic perturbational mechanisms and evidence strength; they do not establish therapeutic benefit, clinical toxicity, causal human risk or exposure relevance.
doxorubicin	DTXSID8021480	direct_injury_or_stress_perturbation	injury_dominant_developmental_perturbant	The dominant direct quantitative signal is injury or stress, and this effect exceeds apparent late-program support.	strong_multilayer_evidence	bootstrap_replicated	high_overall_robustness	integrated_CMAP_plus_direct_LINCS	3	41.0	moderate_priority	4	72.60332276157206	high_confidence	20.0	55.0	41.0	Tier_B_relative_residual_profile	no_fixed_panel_mechanism	injury_dominant_developmental_perturbation	True	False	False	True	True	True	True	False	False	False	False	False	high_rank_stability	high_rank_stability	1.0	3	True	True	direct_quantitative_multilayer_classification	Integrated priority combines CMAP and direct quantitative LINCS evidence.	Results describe transcriptomic perturbational mechanisms and evidence strength; they do not establish therapeutic benefit, clinical toxicity, causal human risk or exposure relevance.
daunorubicin	DTXSID0033382	direct_injury_or_stress_perturbation	injury_dominant_developmental_perturbant	The dominant direct quantitative signal is injury or stress, and this effect exceeds apparent late-program support.	strong_multilayer_evidence	bootstrap_replicated	sensitivity_dependent	integrated_CMAP_plus_direct_LINCS	4	34.6	moderate_priority	6	60.74181612681393	high_confidence	4.0	55.0	34.6	Tier_C_program_overlap_dependent	program_overlap_dependent	injury_dominant_developmental_perturbation	True	False	False	True	True	True	True	False	False	False	False	False	weight_sensitive	moderate_rank_stability	7.0	5	False	True	direct_quantitative_multilayer_classification	Integrated priority combines CMAP and direct quantitative LINCS evidence.	Results describe transcriptomic perturbational mechanisms and evidence strength; they do not establish therapeutic benefit, clinical toxicity, causal human risk or exposure relevance.
resveratrol	DTXSID4031980	direct_no_supported_absolute_effect	null_relative_deviation_without_absolute_effect	The chemical differs from its matched random-gene null but does not show a supported absolute biological effect in the primary quantitative analysis.	moderate_multilayer_evidence	descriptive_profile_stability	sensitivity_dependent	integrated_CMAP_plus_direct_LINCS	5	29.200000000000003	low_priority	5	65.57981362228298	high_confidence	73.0	0.0	29.200000000000003	Tier_A_global_residual_mechanism	robust_mixed_early_and_injury	no_coherent_empirically_supported_pattern	True	True	True	True	False	False	False	False	False	False	False	False	weight_sensitive	layer_sensitive	8.0	8	False	True	direct_quantitative_multilayer_classification	Integrated priority combines CMAP and direct quantitative LINCS evidence.	Results describe transcriptomic perturbational mechanisms and evidence strength; they do not establish therapeutic benefit, clinical toxicity, causal human risk or exposure relevance.
verapamil	DTXSID9041152	direct_injury_or_stress_perturbation	late_program_depletion_without_detected_injury	Late synaptic, metabolic or glial maturation programs are depleted without a detected absolute injury/stress signal in the primary analysis.	moderate_multilayer_evidence	bootstrap_replicated	sensitivity_dependent	integrated_CMAP_plus_direct_LINCS	6	9.8	low_priority	7	57.60332276157206	moderate_confidence	2.0	15.0	9.8	Tier_C_program_overlap_dependent	program_overlap_dependent	late_program_depletion	True	False	False	True	True	False	False	False	True	False	False	False	weight_sensitive	moderate_rank_stability	9.0	7	False	False	direct_quantitative_multilayer_classification	Integrated priority combines CMAP and direct quantitative LINCS evidence.	Results describe transcriptomic perturbational mechanisms and evidence strength; they do not establish therapeutic benefit, clinical toxicity, causal human risk or exposure relevance.
primaquine	DTXSID8023509	direct_developmental_program_disruption	negative_developmental_state_shift_without_resolved_mechanism	The quantitative profile shifts toward an earlier developmental state, but the fixed mechanism panel does not resolve the dominant cause.	moderate_multilayer_evidence	partial_directional_retention	sensitivity_dependent	integrated_CMAP_plus_direct_LINCS	6	9.8	low_priority	14	45.26998942823873	moderate_confidence	2.0	15.0	9.8	Tier_C_program_overlap_dependent	program_overlap_dependent	negative_developmental_state_shift	True	False	False	True	False	False	False	False	False	False	True	False	weight_sensitive	layer_sensitive	9.0	8	False	False	direct_quantitative_multilayer_classification	Integrated priority combines CMAP and direct quantitative LINCS evidence.	Results describe transcriptomic perturbational mechanisms and evidence strength; they do not establish therapeutic benefit, clinical toxicity, causal human risk or exposure relevance.
dexamethasone	DTXSID3020384	direct_injury_or_stress_perturbation	late_program_depletion_without_detected_injury	Late synaptic, metabolic or glial maturation programs are depleted without a detected absolute injury/stress signal in the primary analysis.	moderate_multilayer_evidence	partial_directional_retention	moderate_overall_robustness	integrated_CMAP_plus_direct_LINCS	8	6.8	low_priority	12	47.56160929198208	moderate_confidence	2.0	10.0	6.8	Tier_D_no_fixed_panel_mechanism	no_fixed_panel_mechanism	late_program_depletion	True	False	True	True	False	False	False	False	True	False	False	False	moderate_rank_stability	moderate_rank_stability	5.0	5	False	False	direct_quantitative_multilayer_classification	Integrated priority combines CMAP and direct quantitative LINCS evidence.	Results describe transcriptomic perturbational mechanisms and evidence strength; they do not establish therapeutic benefit, clinical toxicity, causal human risk or exposure relevance.
vorinostat	DTXSID6041133	direct_late_or_positive_shift_without_benefit_inference	late_program_support_with_positive_developmental_shift	Late-program support and a positive developmental shift are detected without an absolute injury signal. This remains a perturbational signature and is not interpreted as therapeutic maturation.	strong_directional_multilayer_evidence	directionally_retained	sensitivity_dependent	integrated_CMAP_plus_direct_LINCS	9	4.0	low_priority	3	74.96338917457135	high_confidence	10.0	0.0	4.0	Tier_C_program_overlap_dependent	no_fixed_panel_mechanism	late_program_support_without_supported_injury	True	False	True	True	True	False	False	False	False	True	False	True	weight_sensitive	high_rank_stability	7.0	3	False	True	direct_quantitative_multilayer_classification	Integrated priority combines CMAP and direct quantitative LINCS evidence.	Results describe transcriptomic perturbational mechanisms and evidence strength; they do not establish therapeutic benefit, clinical toxicity, causal human risk or exposure relevance.
mitoxantrone	DTXSID4046947	direct_no_supported_absolute_effect	quantitatively_evaluated_without_supported_absolute_effect	Direct LINCS profiles were evaluated, but no absolute developmental or mechanistic effect met the primary support criteria.	moderate_multilayer_evidence	descriptive_profile_stability	moderate_overall_robustness	integrated_CMAP_plus_direct_LINCS	9	4.0	low_priority	8	54.5	moderate_confidence	10.0	0.0	4.0	Tier_C_program_overlap_dependent	no_fixed_panel_mechanism	no_coherent_empirically_supported_pattern	True	False	True	True	False	False	False	False	False	False	False	False	moderate_rank_stability	moderate_rank_stability	5.0	6	False	False	direct_quantitative_multilayer_classification	Integrated priority combines CMAP and direct quantitative LINCS evidence.	Results describe transcriptomic perturbational mechanisms and evidence strength; they do not establish therapeutic benefit, clinical toxicity, causal human risk or exposure relevance.
