chemical_name	DTXSID	evidence_tier	mechanistic_priority_scope	mechanistic_priority_rank_within_scope	mechanistic_priority_score_within_scope	mechanistic_priority_class	CMAP_provisional_priority_score	direct_LINCS_hazard_priority_score	integrated_mechanistic_priority_score	evidence_confidence_rank	evidence_confidence_score	evidence_confidence_class	overall_primary_interpretation	dominant_robust_mechanism_class	CMAP_global_residual_mechanism	direct_injury_activation	direct_injury_exceeds_late_program	direct_early_program_suppression	direct_late_maturation_depletion	direct_negative_developmental_shift	primary_absolute_direction_supported_axes	primary_secondary_replicated_absolute_axis_count	primary_absolute_direction_retained_count	primary_absolute_bootstrap_replicated_count	neural_absolute_supported_axis_count	replicate_concordant_sensitivity_class	quantitative_missingness_guardrail	beneficial_interpretation_guardrail	CMAP_priority_global_residual_points	CMAP_priority_within_parent_points	CMAP_priority_injury_mixed_fraction_points	CMAP_priority_early_suppression_fraction_points	CMAP_priority_global_parent_fraction_points	CMAP_priority_parent_replication_points	direct_priority_injury_activation_points	direct_priority_injury_exceeds_late_points	direct_priority_early_suppression_points	direct_priority_late_depletion_points	direct_priority_negative_shift_points	confidence_CMAP_component	confidence_direct_component	confidence_reproducibility_component	confidence_neural_component
etoposide	DTXSID5023035	Tier_A_global_residual_mechanism	integrated_CMAP_plus_direct_LINCS	2	61.2	high_priority	83.0	46.666666666666664	61.2	1	79.89494262531541	very_high_confidence	injury_dominant_developmental_perturbation	robust_mixed_early_and_injury	True	True	True	False	False	False	3.0	3.0	3.0	1.0	3.0	all_primary_absolute_axes_directionally_retained	Integrated priority incorporates direct quantitative LINCS evidence.	Priority measures adverse developmental perturbation evidence; a positive developmental-shift or late-program score is not interpreted as therapeutic benefit.	25.0	10.0	25.0	0.0	15.0	8.0	30.0	16.666666666666664	0.0	0.0	0.0	29.0	23.561609291982077	17.333333333333332	10.0
camptothecin	DTXSID0030956	Tier_A_global_residual_mechanism	integrated_CMAP_plus_direct_LINCS	1	67.0	high_priority	85.0	55.0	67.0	2	78.26998942823873	very_high_confidence	injury_dominant_developmental_perturbation	robust_injury_stress	True	True	True	False	False	False	2.0	2.0	2.0	2.0	0.0	all_primary_absolute_axes_bootstrap_replicated	Integrated priority incorporates direct quantitative LINCS evidence.	Priority measures adverse developmental perturbation evidence; a positive developmental-shift or late-program score is not interpreted as therapeutic benefit.	25.0	10.0	25.0	0.0	15.0	10.0	30.0	25.0	0.0	0.0	0.0	28.0	25.269989428238727	25.0	0.0
vorinostat	DTXSID6041133	Tier_C_program_overlap_dependent	integrated_CMAP_plus_direct_LINCS	9	4.0	low_priority	10.0	0.0	4.0	3	74.96338917457135	high_confidence	late_program_support_without_supported_injury	no_fixed_panel_mechanism	False	False	False	False	False	False	3.0	3.0	3.0	2.0	2.0	all_primary_absolute_axes_directionally_retained	Integrated priority incorporates direct quantitative LINCS evidence.	Priority measures adverse developmental perturbation evidence; a positive developmental-shift or late-program score is not interpreted as therapeutic benefit.	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	16.88888888888889	28.407833619015804	19.666666666666664	10.0
doxorubicin	DTXSID8021480	Tier_B_relative_residual_profile	integrated_CMAP_plus_direct_LINCS	3	41.0	moderate_priority	20.0	55.0	41.0	4	72.60332276157206	high_confidence	injury_dominant_developmental_perturbation	no_fixed_panel_mechanism	False	True	True	False	False	False	2.0	2.0	2.0	2.0	0.0	all_primary_absolute_axes_bootstrap_replicated	Integrated priority incorporates direct quantitative LINCS evidence.	Priority measures adverse developmental perturbation evidence; a positive developmental-shift or late-program score is not interpreted as therapeutic benefit.	0.0	10.0	0.0	0.0	0.0	10.0	30.0	25.0	0.0	0.0	0.0	22.333333333333332	25.269989428238727	25.0	0.0
resveratrol	DTXSID4031980	Tier_A_global_residual_mechanism	integrated_CMAP_plus_direct_LINCS	5	29.200000000000003	low_priority	73.0	0.0	29.200000000000003	5	65.57981362228298	high_confidence	no_coherent_empirically_supported_pattern	robust_mixed_early_and_injury	True	False	False	False	False	False	0.0	0.0	0.0	0.0	1.0	no_primary_absolute_axes_but_all_directions_stable	Integrated priority incorporates direct quantitative LINCS evidence.	Priority measures adverse developmental perturbation evidence; a positive developmental-shift or late-program score is not interpreted as therapeutic benefit.	25.0	10.0	18.75	0.0	11.25	8.0	0.0	0.0	0.0	0.0	0.0	27.75	22.82981362228298	8.0	7.0
daunorubicin	DTXSID0033382	Tier_C_program_overlap_dependent	integrated_CMAP_plus_direct_LINCS	4	34.6	moderate_priority	4.0	55.0	34.6	6	60.74181612681393	high_confidence	injury_dominant_developmental_perturbation	program_overlap_dependent	False	True	True	False	False	False	2.0	2.0	2.0	2.0	0.0	all_primary_absolute_axes_bootstrap_replicated	Integrated priority incorporates direct quantitative LINCS evidence.	Priority measures adverse developmental perturbation evidence; a positive developmental-shift or late-program score is not interpreted as therapeutic benefit.	0.0	0.0	0.0	0.0	0.0	4.0	30.0	25.0	0.0	0.0	0.0	12.5	23.24181612681393	25.0	0.0
verapamil	DTXSID9041152	Tier_C_program_overlap_dependent	integrated_CMAP_plus_direct_LINCS	6	9.8	low_priority	2.0	15.0	9.8	7	57.60332276157206	moderate_confidence	late_program_depletion	program_overlap_dependent	False	False	False	False	True	False	1.0	1.0	1.0	1.0	0.0	all_primary_absolute_axes_bootstrap_replicated	Integrated priority incorporates direct quantitative LINCS evidence.	Priority measures adverse developmental perturbation evidence; a positive developmental-shift or late-program score is not interpreted as therapeutic benefit.	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	15.0	0.0	14.0	18.60332276157206	25.0	0.0
mitoxantrone	DTXSID4046947	Tier_C_program_overlap_dependent	integrated_CMAP_plus_direct_LINCS	9	4.0	low_priority	10.0	0.0	4.0	8	54.5	moderate_confidence	no_coherent_empirically_supported_pattern	no_fixed_panel_mechanism	False	False	False	False	False	False	0.0	0.0	0.0	0.0	3.0	no_primary_absolute_axes_but_all_directions_stable	Integrated priority incorporates direct quantitative LINCS evidence.	Priority measures adverse developmental perturbation evidence; a positive developmental-shift or late-program score is not interpreted as therapeutic benefit.	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	15.5	21.0	8.0	10.0
fulvestrant	DTXSID4022369	Tier_D_no_fixed_panel_mechanism	integrated_CMAP_plus_direct_LINCS	14	0.8	low_priority	2.0	0.0	0.8	9	53.60332276157206	moderate_confidence	developmental_shift_without_coherent_late_support	no_fixed_panel_mechanism	False	False	False	False	False	False	1.0	1.0	1.0	1.0	0.0	all_primary_absolute_axes_bootstrap_replicated	Integrated priority incorporates direct quantitative LINCS evidence.	Priority measures adverse developmental perturbation evidence; a positive developmental-shift or late-program score is not interpreted as therapeutic benefit.	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	10.0	18.60332276157206	25.0	0.0
dosulepin	DTXSID2022961	Tier_D_no_fixed_panel_mechanism	integrated_CMAP_plus_direct_LINCS	14	0.8	low_priority	2.0	0.0	0.8	10	50.26998942823872	moderate_confidence	relative_late_program_preservation_only	no_fixed_panel_mechanism	False	False	False	False	False	False	1.0	1.0	1.0	0.0	0.0	all_primary_absolute_axes_directionally_retained	Integrated priority incorporates direct quantitative LINCS evidence.	Priority measures adverse developmental perturbation evidence; a positive developmental-shift or late-program score is not interpreted as therapeutic benefit.	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	10.0	25.269989428238723	15.0	0.0
valproic acid	DTXSID6023733	Tier_C_program_overlap_dependent	integrated_CMAP_plus_direct_LINCS	9	4.0	low_priority	10.0	0.0	4.0	11	50.127132285381585	moderate_confidence	relative_late_program_preservation_only	no_fixed_panel_mechanism	False	False	False	False	False	False	1.0	1.0	1.0	0.0	0.0	all_primary_absolute_axes_directionally_retained	Integrated priority incorporates direct quantitative LINCS evidence.	Priority measures adverse developmental perturbation evidence; a positive developmental-shift or late-program score is not interpreted as therapeutic benefit.	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	15.857142857142858	19.269989428238727	15.0	0.0
dexamethasone	DTXSID3020384	Tier_D_no_fixed_panel_mechanism	integrated_CMAP_plus_direct_LINCS	8	6.8	low_priority	2.0	10.0	6.8	12	47.56160929198208	moderate_confidence	late_program_depletion	no_fixed_panel_mechanism	False	False	False	False	True	False	2.0	2.0	1.0	0.0	2.0	partial_primary_axis_retention	Integrated priority incorporates direct quantitative LINCS evidence.	Priority measures adverse developmental perturbation evidence; a positive developmental-shift or late-program score is not interpreted as therapeutic benefit.	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	10.0	0.0	10.0	19.561609291982077	8.0	10.0
trichostatin A	DTXSID6037063	Tier_C_program_overlap_dependent	integrated_CMAP_plus_direct_LINCS	9	4.0	low_priority	10.0	0.0	4.0	13	45.36803548486269	moderate_confidence	late_program_support_without_supported_injury	no_fixed_panel_mechanism	False	False	False	False	False	False	2.0	2.0	0.0	0.0	2.0	not_evaluable_no_replicate_concordant_profiles	Integrated priority incorporates direct quantitative LINCS evidence.	Priority measures adverse developmental perturbation evidence; a positive developmental-shift or late-program score is not interpreted as therapeutic benefit.	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	16.548387096774192	18.8196483880885	0.0	10.0
primaquine	DTXSID8023509	Tier_C_program_overlap_dependent	integrated_CMAP_plus_direct_LINCS	6	9.8	low_priority	2.0	15.0	9.8	14	45.26998942823873	moderate_confidence	negative_developmental_state_shift	program_overlap_dependent	False	False	False	False	False	True	2.0	2.0	1.0	0.0	0.0	partial_primary_axis_retention	Integrated priority incorporates direct quantitative LINCS evidence.	Priority measures adverse developmental perturbation evidence; a positive developmental-shift or late-program score is not interpreted as therapeutic benefit.	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	15.0	14.0	23.26998942823873	8.0	0.0
rifabutin	DTXSID0033960	Tier_C_program_overlap_dependent	integrated_CMAP_plus_direct_LINCS	13	1.6	low_priority	4.0	0.0	1.6	15	34.76998942823873	low_confidence	no_coherent_empirically_supported_pattern	no_fixed_panel_mechanism	False	False	False	False	False	False	0.0	0.0	0.0	0.0	0.0	no_primary_absolute_axes_mixed_directional_stability	Integrated priority incorporates direct quantitative LINCS evidence.	Priority measures adverse developmental perturbation evidence; a positive developmental-shift or late-program score is not interpreted as therapeutic benefit.	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	12.5	17.269989428238727	5.0	0.0
hexetidine	DTXSID1045297	Tier_A_global_residual_mechanism	CMAP_only_provisional	1	77.0	very_high_priority	77.0			16	26.0	low_confidence		robust_injury_stress	True	False	False	False	False	False							Priority is provisional and CMAP-only; lower confidence reflects missing quantitative validation and does not indicate biological inactivity.	Priority measures adverse developmental perturbation evidence; a positive developmental-shift or late-program score is not interpreted as therapeutic benefit.	25.0	10.0	25.0	0.0	15.0	2.0						26.0	0.0	0.0	0.0
suloctidil		Tier_A_global_residual_mechanism	CMAP_only_provisional	1	77.0	very_high_priority	77.0			16	26.0	low_confidence		robust_injury_stress	True	False	False	False	False	False							Priority is provisional and CMAP-only; lower confidence reflects missing quantitative validation and does not indicate biological inactivity.	Priority measures adverse developmental perturbation evidence; a positive developmental-shift or late-program score is not interpreted as therapeutic benefit.	25.0	10.0	25.0	0.0	15.0	2.0						26.0	0.0	0.0	0.0
methotrexate	DTXSID4020822	Tier_A_global_residual_mechanism	CMAP_only_provisional	3	54.0	high_priority	54.0			18	24.5	low_confidence		robust_early_program_suppression	True	False	False	False	False	False							Priority is provisional and CMAP-only; lower confidence reflects missing quantitative validation and does not indicate biological inactivity.	Priority measures adverse developmental perturbation evidence; a positive developmental-shift or late-program score is not interpreted as therapeutic benefit.	25.0	10.0	0.0	7.5	7.5	4.0						24.5	0.0	0.0	0.0
monobenzone	DTXSID2020717	Tier_B_relative_residual_profile	CMAP_only_provisional	4	14.0	low_priority	14.0			19	18.5	very_low_confidence		robust_relative_profile_only	False	False	False	False	False	False							Priority is provisional and CMAP-only; lower confidence reflects missing quantitative validation and does not indicate biological inactivity.	Priority measures adverse developmental perturbation evidence; a positive developmental-shift or late-program score is not interpreted as therapeutic benefit.	0.0	10.0	0.0	0.0	0.0	4.0						18.5	0.0	0.0	0.0
